ID|SEX|SUBSET|MINUTES|NAME
14|F|train-clean-360|25.03|KristinLeMoine
16|F|train-clean-360|25.11|AlysAtteWater
17|M|train-clean-360|25.04|GordMackenzie
19|F|train-clean-100|25.19|KaraShallenberg
20|F|train-other-500|30.07|Gesine
22|F|train-clean-360|25.14|MichelleCrandall
23|F|train-clean-360|25.23|AnitaRoyDobbs
25|M|train-other-500|30.16|JohnGonzalez
26|M|train-clean-100|25.08|DennySayers
27|M|train-clean-100|20.14|SeanMcKinley
28|F|train-clean-360|25.03|KristinHughes
29|M|train-other-500|30.10|Linton
30|F|train-clean-360|25.19|AnnieColemanRothenberg
31|M|train-other-500|23.79|MartinClifton
32|F|train-clean-100|24.01|BetsieBush
36|M|train-other-500|25.85|Chip
37|M|train-other-500|30.04|wolvrin
38|M|train-clean-360|25.11|R.FrancisSmith
39|F|train-clean-100|25.05|SherryCrowther
40|F|train-clean-100|25.04|VickiBarbour
44|F|train-other-500|25.90|travelbratd
45|F|train-other-500|8.85|KellyBescherer
46|M|train-other-500|30.02|AaronHochwimmer
47|F|train-other-500|30.09|Amanda
49|M|train-other-500|28.62|vrk74
51|M|train-other-500|24.13|rakkar
52|F|train-other-500|10.99|LuisaHall
54|F|train-clean-360|25.07|Westwinds12
55|M|train-clean-360|25.21|DavidJaquay
56|F|train-clean-360|25.07|KirstenFerreri
57|F|train-other-500|29.41|OpheliaDarcy
58|M|train-other-500|30.06|GeorgeCoutts
60|M|train-clean-100|20.18|CBWSimon
61|M|test-clean|8.08|Paul-GabrielWiener
62|M|train-other-500|17.80|Faris
64|F|train-clean-360|23.51|RobinCotter
65|F|train-other-500|27.32|chrissthegirl
66|M|train-other-500|30.22|AlexFoster
70|M|train-clean-360|21.61|KurtCopeland
75|M|train-other-500|30.10|JimMowatt
77|F|train-other-500|30.10|JemmaBlythe
78|M|train-clean-100|25.05|HughMcGuire
79|F|train-clean-360|25.01|JenniferCrispin
81|M|train-clean-360|25.22|AaronDecker
82|F|train-other-500|30.15|MarloDianne
83|F|train-clean-100|25.04|CatharineEastman
84|F|dev-clean|8.02|ChristieNowak
